type,text,label
question,Can you recommend a good mystery novel?,2
question,Why do leaves change color in the fall?,2
question,How do you bake a chocolate cake?,2
question,What's the capital of France?,2
question,Who won the Nobel Prize in Physics last year?,2
question,How many planets are in our solar system?,2
question,What is the largest mammal on Earth?,2
question,Can you explain the rules of chess?,2
question,Why is the ocean salty?,2
question,How does a refrigerator work?,2
question,What are the ingredients in a Margherita pizza?,2
question,Who painted the Mona Lisa?,2
question,How long does it take to learn a new language?,2
question,What causes a rainbow to appear?,2
question,Who wrote 'To Kill a Mockingbird'?,2
question,How can I improve my memory?,2
question,What is the speed of light?,2
question,Can you list some healthy breakfast options?,2
question,Why do we dream when we sleep?,2
question,What is the tallest building in the world?,2
question,How is chocolate made?,2
question,Who discovered penicillin?,2
question,What's the best way to learn a musical instrument?,2
question,Why do cats purr?,2
question,How do solar panels generate electricity?,2
question,What is the theory of relativity?,2
question,Who was the first person to climb Mount Everest?,2
question,How do airplanes stay in the air?,2
question,What are the seven wonders of the modern world?,2
question,Who was the 16th president of the United States?,2
question,How do bees make honey?,2
question,What is quantum mechanics?,2
question,Can you suggest some exercises for staying fit?,2
question,Why does ice float on water?,2
question,Who is known as the father of modern physics?,2
question,What are the symptoms of a cold?,2
question,How is silk made?,2
question,What causes earthquakes?,2
question,Who wrote the play 'Hamlet'?,2
question,How do you make homemade ice cream?,2
question,What is photosynthesis?,2
question,Why do we have seasons?,2
question,How do you solve a Rubik's Cube?,2
question,What is the Pythagorean theorem?,2
question,Who was the first woman in space?,2
question,How do you meditate?,2
question,What are the basic human rights?,2
question,Why do we yawn?,2
question,What is artificial intelligence?,2
question,How is glass made?,2
question,What is the Periodic Table?,2
question,How do you play poker?,2
question,Why do we use currency?,2
question,What are black holes?,2
question,Who was Leonardo da Vinci?,2
question,How do you write a haiku?,2
question,What is the function of the heart?,2
question,Who wrote '1984'?,2
question,How do vaccines work?,2
question,What is the distance to the Moon?,2
question,How do you make a latte?,2
question,What is the Golden Ratio?,2
question,Who discovered America?,2
question,How do you change a car tire?,2
question,What are the rules of soccer?,2
question,How do cameras work?,2
question,Who was Albert Einstein?,2
question,How do you knit a scarf?,2
question,What is the human genome?,2
question,Why do we blink?,2
question,What is virtual reality?,2
question,How do you make sushi?,2
question,What causes thunder and lightning?,2
question,Who wrote 'Romeo and Juliet'?,2
question,How do you build a computer?,2
question,What is the theory of evolution?,2
question,Who was the first president of the United States?,2
question,How do you make soap?,2
question,What is the Internet?,2
question,Why do we sleep?,2
question,How does a microwave oven work?,2
question,Who was Cleopatra?,2
question,How do you play the guitar?,2
question,What causes tides?,2
question,Who wrote 'The Great Gatsby'?,2
question,How do you brew coffee?,2
question,What is a black hole?,2
question,Why do seasons change?,2
question,Who discovered electricity?,2
question,How do you bake bread?,2
question,What is democracy?,2
question,How does a computer work?,2
question,Who was William Shakespeare?,2
question,How do you train a dog?,2
question,What causes the Northern Lights?,2
question,Who was Marie Curie?,2
question,How do you make a cocktail?,2
question,What is global warming?,2
question,Why do we have different time zones?,2
question,How does the human brain work?,2
question,What is the difference between a violin and a viola?,2
question,How do you calculate the circumference of a circle?,2
question,What is the process of osmosis?,2
